ticker,Date,vader_score,n_headlines,finbert_score
MSFT,2023-11-25,0.34090003,3,0.070549585
MSFT,2023-11-26,0.3463875,8,0.26316625
MSFT,2023-11-27,0.292575,12,0.1141288
MSFT,2023-11-28,0.20560001,12,0.08803844
MSFT,2023-11-29,0.22247499,12,-0.10279948
MSFT,2023-11-30,0.17747499,12,0.12100192
MSFT,2023-12-01,0.028466666,12,0.11488613
MSFT,2023-12-02,0.09995,4,-0.19411021
MSFT,2023-12-03,0.29576668,12,0.3751111
MSFT,2023-12-04,0.23193334,12,0.024075916
MSFT,2023-12-05,0.23097499,12,-0.07228965
MSFT,2023-12-06,0.29231665,12,0.1162681
MSFT,2023-12-07,0.045458335,12,0.19373171
MSFT,2023-12-08,0.158875,12,0.022930965
MSFT,2023-12-09,0.1742,5,0.04194389
MSFT,2023-12-10,0.26348332,6,0.15615992
MSFT,2023-12-11,0.10758332,12,0.054103058
MSFT,2023-12-12,0.116408326,12,0.14769976
MSFT,2023-12-13,0.21591668,12,0.28483573
MSFT,2023-12-14,0.175025,12,0.11676221
MSFT,2023-12-15,0.2888,2,0.47895503
MSFT,2023-12-16,0.27429166,12,0.19500381
TSLA,2022-05-02,0.04581666,12,-0.09688884
TSLA,2022-05-03,0.09114167,12,0.13241857
TSLA,2022-05-04,0.013425,12,-0.40633103
TSLA,2022-05-05,-0.032141667,12,-0.21496584
TSLA,2022-05-06,0.08251667,12,-0.014701898
TSLA,2022-05-07,0.27406666,3,0.13481665
TSLA,2022-05-08,-0.091766655,6,-0.03170918
TSLA,2022-05-09,0.1795,12,-0.18107675
TSLA,2022-05-10,-0.015383333,12,-0.25646302
TSLA,2022-05-11,-0.09351667,12,-0.26252395
TSLA,2022-05-12,-0.09639167,12,-0.11008891
TSLA,2022-05-13,-0.022816665,12,-0.22115855
TSLA,2022-05-14,-0.2202,2,-0.29187015
TSLA,2022-05-15,0.0129,2,0.08845368
TSLA,2022-05-16,0.06961667,12,-0.4019713
TSLA,2022-05-17,0.1495,12,0.09748465
TSLA,2022-05-18,0.12168333,12,-0.54439086
TSLA,2022-05-19,-0.06863333,12,-0.09325401
TSLA,2022-05-20,0.03599167,12,-0.12793426
TSLA,2022-05-21,0.0,1,-0.77608204
TSLA,2022-05-22,0.09545,4,-0.10724985
TSLA,2022-05-23,0.06338333,12,0.03541724
TSLA,2022-05-24,-0.061300006,12,-0.22254956
TSLA,2022-05-25,0.03584167,12,0.122601
TSLA,2022-05-26,-0.04042499,12,-0.19544238
TSLA,2022-05-27,-0.16123332,12,-0.13268258
TSLA,2022-05-28,0.49633336,3,0.06404546
TSLA,2022-05-29,0.1262,2,0.024621898
TSLA,2022-05-30,0.078475006,4,0.04394497
TSLA,2022-05-31,0.12471667,6,-0.09176987
TSLA,2022-06-01,0.026366664,12,-0.058134068
TSLA,2022-06-02,-0.03358334,12,-0.11625192
TSLA,2022-06-03,0.00084999827,12,-0.42252138
TSLA,2022-06-04,-0.085675,4,-0.4935612
TSLA,2022-06-05,0.0,1,0.28281268
TSLA,2022-06-06,0.066991664,12,-0.12613197
TSLA,2022-06-07,-0.031041667,12,-0.012454304
TSLA,2022-06-08,0.16768332,12,0.3110405
TSLA,2022-06-09,0.16267501,12,-0.27122286
TSLA,2022-06-10,0.047916666,12,0.09683364
TSLA,2022-06-11,-0.5423,1,-0.745512
TSLA,2022-06-12,0.07603333,3,0.118475616
TSLA,2022-06-13,0.1863,12,-0.1139369
TSLA,2022-06-14,0.12663333,12,-0.28664133
TSLA,2022-06-15,0.10521666,12,-0.09670544
TSLA,2022-06-16,-0.1258,12,-0.49275008
TSLA,2022-06-17,-0.01541667,12,-0.34701803
TSLA,2022-06-18,0.091749996,4,-0.0093098655
TSLA,2022-06-19,0.038875,4,-0.21317789
TSLA,2022-06-20,0.04506,10,-0.2458343
TSLA,2022-06-21,-0.10542499,12,-0.39429998
TSLA,2022-06-22,0.15479167,12,-0.018950855
TSLA,2022-06-23,0.21204168,12,0.14250812
TSLA,2022-06-24,0.20631666,12,0.21095985
TSLA,2022-06-25,0.24695,2,0.021351982
TSLA,2022-06-26,-0.1366,2,0.010087489
TSLA,2022-06-27,0.21030001,12,0.41959393
TSLA,2022-06-28,0.025125002,12,0.19231439
TSLA,2022-06-29,0.057825,12,-0.014864992
TSLA,2022-06-30,-0.08566363,11,-0.4230256
TSLA,2022-07-01,-0.16989167,12,-0.5024168
TSLA,2022-07-02,0.04346667,6,-0.134255
TSLA,2022-07-03,0.0,1,-0.92505914
TSLA,2022-07-04,0.07636,5,0.10174241
TSLA,2022-07-05,-0.09769166,12,-0.40376818
TSLA,2022-07-06,0.1764,11,0.15337245
TSLA,2022-07-07,-0.0018272671,11,0.1264918
